"url";"agents_name";"agents_job"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ahuntsic-cartierville/10241745?view=summary";"François Mackay";"Certified Residential and Commercial Real Estate Broker AEO"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ahuntsic-cartierville/10241745?view=summary";"Caroline Tanguay-Gingras";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/18063568?view=summary";"Amy Assaad";"Certified Residential and Commercial Real Estate Broker AEO"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-villeray-saint-michel-parc-extension/13498281?view=summary";"Anastasia Zoitakis";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-saint-laurent/20575608?view=summary";"Priscilla Peng";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-saint-laurent/27538752?view=summary";"Martin Cheff";"Certified Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-saint-laurent/27538752?view=summary";"Matthieu Lanctôt";"Certified Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-saint-laurent/27538752?view=summary";"Jürgen Diaz-Angeles";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/11438720?view=summary";"Jeremy Benaroch";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/11438720?view=summary";"Nicholas Ziss";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/15707541?view=summary";"Kévin Perreault";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/15707541?view=summary";"Vincent Gaudreau-Bussière";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-rosemont-la-petite-patrie/10190343?view=summary";"Frank Baker";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/26842479?view=summary";"Laura Dayan";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/26842479?view=summary";"Alégria Perez";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-sud-ouest/23879394?view=summary";"Stéphane Azoulay";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/9077312?view=summary";"Amy Assaad";"Certified Residential and Commercial Real Estate Broker AEO"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-plateau-mont-royal/21882375?view=summary";"Caroline Rouleau";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-plateau-mont-royal/21882375?view=summary";"Alexis Auch";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~westmount/19234070?view=summary";"Michael Szirmay";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-saint-laurent/26604317?view=summary";"Marc Beaulieu";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-saint-laurent/26604317?view=summary";"Steve Gagné-Valdes";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-lachine/9965812?view=summary";"Jonathan Abrahams";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-rosemont-la-petite-patrie/28223511?view=summary";"Frank Merenda";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-rosemont-la-petite-patrie/28223511?view=summary";"Karine Faille";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-verdun-ile-des-soeurs/26581364?view=summary";"Blair Anderson";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-sud-ouest/23249093?view=summary";"Jürgen Diaz-Angeles";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-sud-ouest/23249093?view=summary";"Matthieu Lanctôt";"Certified Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-sud-ouest/23249093?view=summary";"Martin Cheff";"Certified Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/28774375?view=summary";"Guannan Wang";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/26238496?view=summary";"Denis Poirier";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/26238496?view=summary";"Heidy Pinsonneault-Grenier";"Certified Residential and Commercial Real Estate Broker AEO"
"https://www.centris.ca/en/condos-apartments~for-rent~mont-royal/25217746?view=summary";"Anne Redding";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~mont-royal/25217746?view=summary";"Gabrielle Rouleau";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~mont-royal/25217746?view=summary";"Liane Redding";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/14927486?view=summary";"Giancarlo Carangelo";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/12462139?view=summary";"Firas Trabulsi";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/28652056?view=summary";"Gregory McCauley";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/28652056?view=summary";"Ryan Fournier";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/17347342?view=summary";"Chand Wadhwani";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/houses~for-rent~montreal-saint-laurent/16381651?view=summary";"Michael Senderak";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/28056198?view=summary";"Arie Alter";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/28056198?view=summary";"Tatiana Londono";"Certified Residential and Commercial Real Estate Broker AEO"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/19548174?view=summary";"Stéphane Azoulay";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/26782322?view=summary";"Michelle Chicoine";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/26782322?view=summary";"Etienne Dragon";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ouest/18576102?view=summary";"Esther Cohen";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-outremont/22247607?view=summary";"Marcel Lu Inc.";"Business corporation owned by a Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-outremont/22247607?view=summary";"Yanli Zhou Inc.";"Business corporation owned by a Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ahuntsic-cartierville/14855825?view=summary";"Amma Philip";"Residential Real Estate Broker"
"https://www.centris.ca/en/houses~for-rent~montreal-ville-marie/21766177?view=summary";"Farkhondeh Bodaghi";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-l-ile-bizard-sainte-genevieve/26467060?view=summary";"Idem Sama";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/15578561?view=summary";"Alex Bechlian";"Chartered Residential and Commercial Real Estate Broker AEO"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-mercier-hochelaga-maisonneuve/24647868?view=summary";"Georges Bardagi";"Certified Residential and Commercial Real Estate Broker AEO"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-sud-ouest/27143033?view=summary";"Karine Doche";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-sud-ouest/27143033?view=summary";"Nayla Saleh";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-plateau-mont-royal/13241131?view=summary";"Gabrielle Rouleau";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-plateau-mont-royal/13241131?view=summary";"Anne Redding";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-plateau-mont-royal/13241131?view=summary";"Liane Redding";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/houses~for-rent~kirkland/27452688?view=summary";"Kun Xing Inc.";"Business corporation owned by a Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/27007491?view=summary";"Louise Latreille";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-sud-ouest/18420859?view=summary";"Adil Baamar";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-saint-laurent/9691044?view=summary";"Saeed Assadian";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/20271443?view=summary";"Amy Assaad";"Certified Residential and Commercial Real Estate Broker AEO"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-sud-ouest/15594178?view=summary";"Alexander Zamozdra";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-sud-ouest/17925482?view=summary";"Wenwen Wang";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-sud-ouest/17925482?view=summary";"James He";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/22516366?view=summary";"Adil Baamar";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/houses~for-rent~dollard-des-ormeaux/19199968?view=summary";"Hasim Al-Saraf";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/22454857?view=summary";"Hui Ma";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/10558957?view=summary";"Qiang Zhong";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/28154199?view=summary";"Wei Wang inc.";"Business corporation owned by a Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/16141299?view=summary";"Anna Donato";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/23586130?view=summary";"Amy Assaad";"Certified Residential and Commercial Real Estate Broker AEO"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/15925089?view=summary";"Emy Latreille";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/15925089?view=summary";"Laurence Lavoie";"Residential Real Estate Broker"
"https://www.centris.ca/en/houses~for-rent~montreal-l-ile-bizard-sainte-genevieve/25746495?view=summary";"Justine Laprise";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-sud-ouest/21444078?view=summary";"Mark-André Martel";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-mercier-hochelaga-maisonneuve/22205862?view=summary";"Jean-François Léveillé";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-mercier-hochelaga-maisonneuve/22205862?view=summary";"Yvan Cloutier";"Certified Residential and Commercial Real Estate Broker AEO"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/22637082?view=summary";"Ralph Sebaaly";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/22637082?view=summary";"Christian Daoud";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/26888900?view=summary";"Georges Bardagi";"Certified Residential and Commercial Real Estate Broker AEO"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-verdun-ile-des-soeurs/11037887?view=summary";"Anik Mercure";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-verdun-ile-des-soeurs/11037887?view=summary";"David Tardif";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-verdun-ile-des-soeurs/11037887?view=summary";"Maxime Tardif";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/24554232?view=summary";"Huijun Cai";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/24554232?view=summary";"Ping Luo";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/24418160?view=summary";"Yucong Wang";"Certified Residential and Commercial Real Estate Broker AEO"
"https://www.centris.ca/en/condos-apartments~for-rent~dollard-des-ormeaux/16920095?view=summary";"Carly Fridman";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-verdun-ile-des-soeurs/11851294?view=summary";"Sylvie Rovida";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-plateau-mont-royal/25494987?view=summary";"Michelle Chicoine";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-plateau-mont-royal/25494987?view=summary";"Etienne Dragon";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/9220597?view=summary";"Dominic Lamarre Brunette";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/11524442?view=summary";"Amy Assaad";"Certified Residential and Commercial Real Estate Broker AEO"
"https://www.centris.ca/en/condos-apartments~for-rent~mont-royal/23352392?view=summary";"Zuo Xing Ye";"Certified Residential and Commercial Real Estate Broker AEO"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-sud-ouest/18143618?view=summary";"Éric Faucher";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/24932691?view=summary";"Hai Xu";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-outremont/17276984?view=summary";"François Wang";"Certified Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-rosemont-la-petite-patrie/28123829?view=summary";"Jürgen Diaz-Angeles";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-rosemont-la-petite-patrie/28123829?view=summary";"Martin Cheff";"Certified Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-lachine/14553324?view=summary";"Yolande Chartier";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/15052535?view=summary";"Alexandra Ursu";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/22844468?view=summary";"Natali Kosbey";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-verdun-ile-des-soeurs/12501052?view=summary";"Lucas Servant";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/21249336?view=summary";"Dylan Slakmon";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/21249336?view=summary";"Matthew Warsh";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/15345316?view=summary";"Athanasios Venardos";"Residential and Commercial Real Estate Broker"
