"url";"type";"category";"price";"rooms";"bedrooms";"bathrooms";"walkscore";"year_built";"high_schools";"primary_schools";"transit_friendly";"groceries";"restaurants";"pedestrian_friendly";"greenery";"historic";"cycling_friendly";"car_friendly";"vibrant";"shopping";"daycares";"nightlife";"cafes";"quiet";"parks";"lat";"lng";"lot_area_sqft";"lot_area_m2";"parking_driveway";"parking_garage";"parking_carport";"bedrooms_basement";"powder_rooms";"tipology";"neighbourhood"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ahuntsic-cartierville/10241745?view=summary";"rent";"condo for rent";1585;4;1;1;57;2022;4;4,5;4,5;4,5;3;4;2,5;1,5;2,5;4;2;2,5;5;2;3;2;4,5;45,529656;-73,723731;NA;NA;NA;NA;NA;0;0;"condo";"Ahuntsic-Cartierville"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/18063568?view=summary";"rent";"condo for rent";1795;4;1;1;81;1910;5;4,5;4,5;4;4,5;5;4,5;2,5;3;2,5;4;5;5;4;4,5;3;5;45,500587;-73,583819;NA;NA;NA;NA;NA;0;0;"condo";"Ville-Marie"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-villeray-saint-michel-parc-extension/13498281?view=summary";"rent";"condo for rent";2500;5;1;1;81;NA;4;4,5;5;5;4;5;3;2;4,5;3,5;3,5;4,5;5;3;2;1,5;5;45,547147;-73,604736;NA;NA;NA;NA;NA;0;0;"condo";"Villeray-Saint-Michel-Parc-Extension"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-saint-laurent/20575608?view=summary";"rent";"condo for rent";1300;5;3;1;79;1949;4,5;4,5;5;5;3,5;4;2;1,5;3;3;2;4;5;1;3;4;5;45,513468;-73,682649;NA;NA;NA;NA;NA;0;0;"condo";"Saint-Laurent"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-saint-laurent/27538752?view=summary";"rent";"condo for rent";1495;4;3;1;28;1960;4;2,5;3;3,5;2,5;3;2,5;0;3;4;1,5;3;3,5;1,5;2,5;5;3,5;45,502861;-73,700726;NA;NA;NA;NA;NA;0;0;"condo";"Saint-Laurent"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/11438720?view=summary";"rent";"condo for rent";2150;5;2;1;91;1885;4,5;4;5;4,5;4,5;4;2,5;3;2;3,5;4;5;4,5;4;4,5;0;5;45,492852;-73,571629;NA;NA;NA;NA;NA;0;0;"condo";"Ville-Marie"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/15707541?view=summary";"rent";"condo for rent";2400;9;3;2;73;1945;4;5;4,5;4;3,5;4,5;4;2;2,5;3;2;3,5;5;1,5;3;3;4;45,48189309;-73,63489667;NA;NA;NA;NA;NA;0;0;"condo";"Côte-des-Neiges-Notre-Dame-de-Grâce"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-rosemont-la-petite-patrie/10190343?view=summary";"rent";"condo for rent";2000;7;3;1;87;1929;4;4,5;4,5;4,5;4;5;3,5;2;4,5;3;3,5;4;5;3;2,5;3;5;45,54846;-73,589981;NA;NA;NA;NA;NA;0;0;"condo";"Rosemont-La Petite-Patrie"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/26842479?view=summary";"rent";"condo for rent";2000;7;3;1;72;NA;4;4,5;4;4,5;3,5;4,5;5;1,5;2,5;3;2,5;4;4,5;1,5;2,5;4,5;5;45,50589;-73,629196;NA;NA;NA;NA;NA;0;0;"condo";"Côte-des-Neiges-Notre-Dame-de-Grâce"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-sud-ouest/23879394?view=summary";"rent";"condo for rent";2500;5;1;1;77;2018;3;4;5;4,5;4;5;3;2,5;5;3;3;4;4;3;3;2,5;4,5;45,478822;-73,56878;NA;NA;1;NA;NA;0;0;"condo";"Le Sud-Ouest"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/9077312?view=summary";"rent";"condo for rent";1640;2;0;1;95;NA;2,5;4;5;4,5;5;5;1,5;4;2,5;3,5;4,5;5;5;4,5;5;2;5;45,50407609;-73,56189966;NA;NA;NA;NA;NA;0;0;"condo";"Ville-Marie"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-plateau-mont-royal/21882375?view=summary";"rent";"condo for rent";1570;5;2;1;83;NA;4;5;4,5;4,5;4;5;3,5;3;4,5;2;3,5;4,5;4,5;3,5;3;2;5;45,536101;-73,56319;NA;NA;NA;NA;NA;0;0;"condo";"Le Plateau-Mont-Royal"
"https://www.centris.ca/en/condos-apartments~for-rent~westmount/19234070?view=summary";"rent";"condo for rent";1400;5;1;1;87;1949;4;4;4,5;4,5;3,5;5;5;2,5;2;3,5;2,5;4,5;4;2;3;4,5;4;45,478392;-73,60867;NA;NA;NA;NA;NA;0;0;"condo";"Westmount"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-saint-laurent/26604317?view=summary";"rent";"condo for rent";2300;9;3;1;31;2010;2;2,5;2,5;2;2,5;2,5;1;0;3;4;1;2,5;3,5;0,5;2,5;5;4;45,51445558;-73,71695703;NA;NA;NA;NA;NA;0;1;"condo";"Saint-Laurent"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-lachine/9965812?view=summary";"rent";"condo for rent";1675;4;2;1;55;2022;4,5;5;3;3;2,5;4,5;2;2,5;4;3,5;1,5;2,5;5;2;3;4,5;4,5;45,4349818;-73,67395042;NA;NA;1;NA;NA;0;0;"condo";"Lachine"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-rosemont-la-petite-patrie/28223511?view=summary";"rent";"condo for rent";1100;3;0;1;91;1967;4;4,5;4,5;5;4,5;5;3;3;5;2;4;5;5;3,5;2,5;3,5;4,5;45,531915;-73,60729;NA;NA;NA;NA;NA;0;0;"condo";"Rosemont-La Petite-Patrie"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-verdun-ile-des-soeurs/26581364?view=summary";"rent";"condo for rent";1690;6;1;1;83;2020;3,5;4,5;5;4,5;3,5;5;2;2,5;4;3,5;2;3,5;5;1,5;3;4;5;45,4622969;-73,5636232;NA;NA;NA;NA;NA;0;0;"condo";"Verdun"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-sud-ouest/23249093?view=summary";"rent";"condo for rent";1900;4;1;1;82;2003;4;4;5;5;4,5;5;3;3;3,5;2,5;3,5;4,5;4,5;3;4;2;5;45,48530839;-73,57951837;NA;NA;NA;NA;NA;0;0;"condo";"Le Sud-Ouest"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/28774375?view=summary";"rent";"condo for rent";2295;6;2;2;93;NA;4,5;4;5;4,5;4,5;5;3;3;3;2,5;4;5;5;4;4,5;2,5;4,5;45,501182;-73,579147;NA;NA;NA;NA;NA;0;0;"condo";"Ville-Marie"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/26238496?view=summary";"rent";"condo for rent";1750;5;1;1;91;2006;3,5;4,5;5;4,5;4,5;5;2;3;3,5;3;4;5;4;4;4,5;2,5;5;45,49492;-73,566155;NA;NA;NA;NA;NA;0;0;"condo";"Ville-Marie"
"https://www.centris.ca/en/condos-apartments~for-rent~mont-royal/25217746?view=summary";"rent";"condo for rent";2900;10;2;2;79;1950;4;5;3,5;4;3,5;4;3,5;1,5;3,5;4;2;4,5;5;1,5;2,5;3;4;45,5201349;-73,6458618;NA;NA;NA;1;NA;0;0;"condo";"Mont-Royal"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/14927486?view=summary";"rent";"condo for rent";1495;5;2;1;59;1956;1;4,5;4;4;2,5;3;4;0,5;2,5;4;1,5;3;4,5;1;2,5;3;4;45,430773;-73,638833;NA;NA;NA;NA;NA;0;0;"condo";"LaSalle"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/12462139?view=summary";"rent";"condo for rent";3900;4;2;2;97;2018;4;3,5;5;5;5;5;1,5;3;2;3,5;4,5;5;5;4,5;5;1,5;5;45,49676093;-73,57172125;NA;NA;NA;1;NA;0;0;"condo";"Ville-Marie"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/28652056?view=summary";"rent";"condo for rent";995;3;1;1;74;1954;4;4;4,5;4;3,5;3,5;2,5;1;2;3;2;3,5;5;2;2,5;0;4,5;45,48944968;-73,6435068;NA;NA;NA;NA;NA;0;0;"condo";"Côte-des-Neiges-Notre-Dame-de-Grâce"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/17347342?view=summary";"rent";"condo for rent";2500;8;1;2;83;NA;4,5;5;4,5;4,5;3,5;5;4,5;2;2;2,5;2,5;3,5;5;2;3;2,5;4;45,482644;-73,629898;NA;NA;NA;NA;NA;1;0;"condo";"Côte-des-Neiges-Notre-Dame-de-Grâce"
"https://www.centris.ca/en/houses~for-rent~montreal-saint-laurent/16381651?view=summary";"rent";"house for rent";2950;10;4;3;18;2008;0;3;2,5;3,5;2;2;2,5;1;2,5;4,5;1;2,5;4;0,5;1,5;4,5;3,5;45,503065;-73,729975;NA;NA;1;1;NA;1;1;"house";"Saint-Laurent"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/28056198?view=summary";"rent";"condo for rent";2975;5;2;2;75;2019;5;5;4;4;3;3;3;0,5;2;3,5;2;4;4,5;2;3;3,5;4,5;45,494141;-73,647194;NA;NA;NA;1;NA;1;0;"condo";"Côte-des-Neiges-Notre-Dame-de-Grâce"
